allele_name	gene_family	consensus_gene_name	consensus_product	threshold	alleles_at_maximum_threshold	number_genomes	average_dose	min_dose	max_dose	genomes_containing_fissions	genomes_containing_duplications	number_fission_loci	number_duplicated_loci	no_loci	products	gene_names	min_length(bp)	max_length(bp)	average_length(bp)	cluster	cluster_order	pQBR127	pQBR132	pQBR28	pQBR53	pQBR55	pQBR55R	pQG3rel01	pQG3rel02	pQG3rel03	pQG3rel04	pQG3rel05	pQG3rel06
g0017_0003	g0017	NA	thermonuclease family protein	80	7	12	1	1	1	0	0	0	0	12	thermonuclease family protein(9):Thermonuclease family protein(2):Micrococcal nuclease(1)	NA(12)	483	537	499.00	7	4	pQBR127_00170	pQBR132_00168	pQBR28_00168	pQBR53_00192	pQBR55_00191	pQBR55R_00167	pQG3rel01_00170	pQG3rel02_00199	pQG3rel03_00158	pQG3rel04_00166	pQG3rel05_00159	pQG3rel06_00215
g0065_0003	g0065	NA	Lipoprotein	80	5	12	1	1	1	0	0	0	0	12	Lipoprotein(12)	NA(12)	846	846	846.00	8	1	pQBR127_00072	pQBR132_00092	pQBR28_00071	pQBR53_00075	pQBR55_00099	pQBR55R_00075	pQG3rel01_00078	pQG3rel02_00080	pQG3rel03_00079	pQG3rel04_00083	pQG3rel05_00072	pQG3rel06_00079
g0067_0003	g0067	NA	DUF1845 domain-containing protein	80	5	12	1	1	1	0	0	0	0	12	DUF1845 domain-containing protein(12)	NA(12)	756	759	758.75	8	2	pQBR127_00071	pQBR132_00091	pQBR28_00070	pQBR53_00074	pQBR55_00098	pQBR55R_00074	pQG3rel01_00077	pQG3rel02_00079	pQG3rel03_00078	pQG3rel04_00082	pQG3rel05_00071	pQG3rel06_00078
g0079_0003	g0079	NA	Secreted protein	80	5	12	1	1	1	0	0	0	0	12	Secreted protein(12)	NA(12)	276	282	277.50	8	3	pQBR127_00069	pQBR132_00089	pQBR28_00068	pQBR53_00072	pQBR55_00096	pQBR55R_00072	pQG3rel01_00075	pQG3rel02_00078	pQG3rel03_00076	pQG3rel04_00080	pQG3rel05_00070	pQG3rel06_00077
g0203_0005	g0203	NA	CBS domain-containing protein	95	2	12	1	1	1	0	0	0	0	12	CBS domain-containing protein(12)	NA(12)	186	186	186.00	8	4	pQBR127_00068	pQBR132_00088	pQBR28_00067	pQBR53_00071	pQBR55_00095	pQBR55R_00071	pQG3rel01_00074	pQG3rel02_00077	pQG3rel03_00075	pQG3rel04_00079	pQG3rel05_00069	pQG3rel06_00076
g0077_0002	g0077	NA	DUF1294 domain-containing protein	70	5	12	1	1	1	0	0	0	0	12	DUF1294 domain-containing protein(12)	NA(12)	366	366	366.00	9	1	pQBR127_00163	pQBR132_00158	pQBR28_00147	pQBR53_00185	pQBR55_00184	pQBR55R_00160	pQG3rel01_00143	pQG3rel02_00181	pQG3rel03_00149	pQG3rel04_00157	pQG3rel05_00140	pQG3rel06_00197
g0061_0003	g0061	NA	Periplasmic serine proteases (ClpP class)	80	5	12	1	1	1	0	0	0	0	12	Periplasmic serine proteases (ClpP class)(8):S49 family peptidase(4)	NA(12)	933	936	935.75	9	2	pQBR127_00162	pQBR132_00157	pQBR28_00146	pQBR53_00184	pQBR55_00183	pQBR55R_00159	pQG3rel01_00142	pQG3rel02_00180	pQG3rel03_00148	pQG3rel04_00156	pQG3rel05_00139	pQG3rel06_00196
g0081_0002	g0081	NA	Lipoprotein	70	5	12	1	1	1	0	0	0	0	12	Lipoprotein(12)	NA(12)	213	255	251.50	9	3	pQBR127_00161	pQBR132_00156	pQBR28_00145	pQBR53_00183	pQBR55_00182	pQBR55R_00158	pQG3rel01_00136	pQG3rel02_00177	pQG3rel03_00147	pQG3rel04_00155	pQG3rel05_00137	pQG3rel06_00193
g0052_0004	g0052	NA	DNA helicase	90	5	12	1	1	1	1	0	1	0	12	DNA helicase(12):hypothetical protein(1)	NA(13)	603	1497	1370.54	10	1	pQBR127_00145	pQBR132_00140	pQBR28_00129	pQBR53_00167	pQBR55_00166	pQBR55R_00142	(pQG3rel01_00116:pQG3rel01_00117)	pQG3rel02_00113	pQG3rel03_00130	pQG3rel04_00138	pQG3rel05_00106	pQG3rel06_00149
g0048_0003	g0048	NA	Lipoprotein	80	6	12	1	1	1	0	0	0	0	12	Lipoprotein(7):hypothetical protein(5)	NA(12)	273	390	344.75	10	2	pQBR127_00144	pQBR132_00139	pQBR28_00128	pQBR53_00166	pQBR55_00165	pQBR55R_00141	pQG3rel01_00115	pQG3rel02_00112	pQG3rel03_00129	pQG3rel04_00137	pQG3rel05_00105	pQG3rel06_00148
g0010_0004	g0010	topA	type I DNA topoisomerase	90	7	12	1	1	1	2	0	2	0	12	type I DNA topoisomerase(11):DNA topoisomerase(1):hypothetical protein(1):Transferred entry: 5-62-1(1)	topA(11):NA(3)	552	2166	1858.71	10	3	pQBR127_00132	pQBR132_00137	pQBR28_00126	pQBR53_00154	pQBR55_00153	pQBR55R_00129	(pQG3rel01_00112:pQG3rel01_00113)	pQG3rel02_00111	pQG3rel03_00127	(pQG3rel04_00134:pQG3rel04_00135)	pQG3rel05_00103	pQG3rel06_00147
g0019_0002	g0019	NA	DUF29 domain-containing protein	70	7	12	1	1	1	0	0	0	0	12	DUF29 domain-containing protein(11):hypothetical protein(1)	NA(12)	264	426	277.50	11	1	pQBR127_00023	pQBR132_00032	pQBR28_00023	pQBR53_00026	pQBR55_00050	pQBR55R_00026	pQG3rel01_00012	pQG3rel02_00028	pQG3rel03_00028	pQG3rel04_00029	pQG3rel05_00021	pQG3rel06_00025
g0127_0004	g0127	NA	DUF2383 domain-containing protein	90	3	12	1	1	1	0	0	0	0	12	DUF2383 domain-containing protein(12)	NA(12)	480	480	480.00	11	2	pQBR127_00024	pQBR132_00033	pQBR28_00024	pQBR53_00027	pQBR55_00051	pQBR55R_00027	pQG3rel01_00013	pQG3rel02_00029	pQG3rel03_00029	pQG3rel04_00030	pQG3rel05_00022	pQG3rel06_00026
g0117_0005	g0117	NA	ALP-N domain-containing protein	95	3	12	1	1	1	0	0	0	0	12	ALP-N domain-containing protein(12)	NA(12)	1014	1032	1023.75	11	3	pQBR127_00025	pQBR132_00034	pQBR28_00025	pQBR53_00028	pQBR55_00052	pQBR55R_00028	pQG3rel01_00014	pQG3rel02_00030	pQG3rel03_00030	pQG3rel04_00031	pQG3rel05_00023	pQG3rel06_00027
g0004_1_0005	g0004_1	dnaB	replicative DNA helicase	80	5	12	1	1	1	0	0	0	0	12	replicative DNA helicase(12)	dnaB(12)	1524	1524	1524.00	12	1	pQBR127_00001	pQBR132_00001	pQBR28_00001	pQBR53_00001	pQBR55_00001	pQBR55R_00001	pQG3rel01_00358	pQG3rel02_00001	pQG3rel03_00001	pQG3rel04_00001	pQG3rel05_00001	pQG3rel06_00001
g0004_2_0010	g0004_2	dnaB	replicative DNA helicase	95	6	12	1.08	1	2	0	1	0	1	13	replicative DNA helicase(13)	dnaB(13)	1395	1398	1396.15	12	2	pQBR127_00002	pQBR132_00002	pQBR28_00002	pQBR53_00002	pQBR55_00002	pQBR55R_00002	pQG3rel01_00001;pQG3rel01_00359	pQG3rel02_00002	pQG3rel03_00002	pQG3rel04_00002	pQG3rel05_00002	pQG3rel06_00002
g0001_0006	g0001	NA	Replication initiator protein	98	1	12	1	1	1	0	0	0	0	12	Replication initiator protein(12)	NA(12)	753	753	753.00	12	3	pQBR127_00020	pQBR132_00028	pQBR28_00020	pQBR53_00023	pQBR55_00023	pQBR55R_00023	pQG3rel01_00006	pQG3rel02_00023	pQG3rel03_00026	pQG3rel04_00027	pQG3rel05_00016	pQG3rel06_00020
g0132_0004	g0132	traA	Conjugative transfer protein TraA	90	3	12	1	1	1	0	0	0	0	12	Conjugative transfer protein TraA(12)	traA(12)	360	381	361.75	13	1	pQBR127_00087	pQBR132_00108	pQBR28_00086	pQBR53_00115	pQBR55_00114	pQBR55R_00090	pQG3rel01_00094	pQG3rel02_00092	pQG3rel03_00099	pQG3rel04_00105	pQG3rel05_00083	pQG3rel06_00128
g0027_0004	g0027	NA	Tandem-95 repeat protein	90	5	12	1	1	1	1	0	1	0	12	Tandem-95 repeat protein(10):Ig-like domain-containing protein(3)	NA(13)	3147	6708	6189.46	13	2	pQBR127_00086	pQBR132_00107	pQBR28_00085	pQBR53_00114	pQBR55_00113	pQBR55R_00089	pQG3rel01_00093	pQG3rel02_00091	pQG3rel03_00098	(pQG3rel04_00103:pQG3rel04_00104)	pQG3rel05_00082	pQG3rel06_00127
g0121_0005	g0121	NA	Thiol:disulfide interchange protein	95	3	12	1	1	1	0	0	0	0	12	Thiol:disulfide interchange protein(12)	NA(12)	690	690	690.00	13	3	pQBR127_00085	pQBR132_00106	pQBR28_00084	pQBR53_00113	pQBR55_00112	pQBR55R_00088	pQG3rel01_00092	pQG3rel02_00089	pQG3rel03_00097	pQG3rel04_00102	pQG3rel05_00081	pQG3rel06_00126
g0058_0002	g0058	parB	putative transcriptional regulators	70	5	12	1	1	1	0	0	0	0	12	putative transcriptional regulators(8):Chromosome partitioning protein ParB(4)	NA(8):parB(4)	1002	1014	1010.00	14	1	pQBR127_00101	pQBR132_00122	pQBR28_00100	pQBR53_00129	pQBR55_00128	pQBR55R_00104	pQG3rel01_00108	pQG3rel02_00106	pQG3rel03_00113	pQG3rel04_00119	pQG3rel05_00097	pQG3rel06_00142
g0082_0002	g0082	csrA	carbon storage regulator CsrA	70	5	12	1	1	1	0	0	0	0	12	carbon storage regulator CsrA(12)	csrA(12)	186	186	186.00	14	2	pQBR127_00102	pQBR132_00123	pQBR28_00101	pQBR53_00130	pQBR55_00129	pQBR55R_00105	pQG3rel01_00109	pQG3rel02_00107	pQG3rel03_00114	pQG3rel04_00120	pQG3rel05_00098	pQG3rel06_00143
g0009_0002	g0009	NA	DUF4376 domain-containing protein	70	8	12	1	1	1	0	0	0	0	12	DUF4376 domain-containing protein(7):Dirigent protein(5)	NA(12)	270	273	272.75	15	1	pQBR127_00169	pQBR132_00167	pQBR28_00167	pQBR53_00191	pQBR55_00190	pQBR55R_00166	pQG3rel01_00149	pQG3rel02_00188	pQG3rel03_00156	pQG3rel04_00164	pQG3rel05_00149	pQG3rel06_00204
g0025_0001	g0025	copG	CopG family transcriptional regulator	60	7	12	1	1	1	0	0	0	0	12	CopG family transcriptional regulator(8):Importin N-terminal domain-containing protein(4)	copG(8):NA(4)	198	252	210.00	15	2	pQBR127_00168	pQBR132_00166	pQBR28_00156	pQBR53_00190	pQBR55_00189	pQBR55R_00165	pQG3rel01_00148	pQG3rel02_00187	pQG3rel03_00155	pQG3rel04_00163	pQG3rel05_00148	pQG3rel06_00203
g0021_0002	g0021	NA	Centromere protein L	70	7	12	1	1	1	0	0	0	0	12	Centromere protein L(12)	NA(12)	384	384	384.00	16	1	pQBR127_00165	pQBR132_00163	pQBR28_00152	pQBR53_00187	pQBR55_00186	pQBR55R_00162	pQG3rel01_00145	pQG3rel02_00184	pQG3rel03_00152	pQG3rel04_00160	pQG3rel05_00145	pQG3rel06_00200
g0006_0002	g0006	NA	HTH-35 domain-containing protein	70	8	12	1	1	1	0	0	0	0	12	HTH-35 domain-containing protein(9):helix-turn-helix domain-containing protein(3)	NA(12)	1104	1107	1105.00	16	2	pQBR127_00166	pQBR132_00164	pQBR28_00153	pQBR53_00188	pQBR55_00187	pQBR55R_00163	pQG3rel01_00146	pQG3rel02_00185	pQG3rel03_00153	pQG3rel04_00161	pQG3rel05_00146	pQG3rel06_00201
g0015_0003	g0015	NA	Acetyltransferase%2C GNAT family	80	7	12	1	1	1	0	0	0	0	12	Acetyltransferase%2C GNAT family(8):GNAT family N-acetyltransferase(3):N-acetyltransferase domain-containing protein(1)	NA(12)	699	699	699.00	17	1	pQBR127_00160	pQBR132_00154	pQBR28_00144	pQBR53_00182	pQBR55_00181	pQBR55R_00157	pQG3rel01_00135	pQG3rel02_00155	pQG3rel03_00146	pQG3rel04_00154	pQG3rel05_00122	pQG3rel06_00168
g0020_0002	g0020	NA	Lipoprotein	70	7	12	1	1	1	0	0	0	0	12	Lipoprotein(12)	NA(12)	420	426	421.25	18	1	pQBR127_00159	pQBR132_00153	pQBR28_00143	pQBR53_00181	pQBR55_00180	pQBR55R_00156	pQG3rel01_00133	pQG3rel02_00153	pQG3rel03_00145	pQG3rel04_00153	pQG3rel05_00120	pQG3rel06_00166
g0031	g0031	NA	DUF4942 domain-containing protein	50	4	12	1	1	1	1	0	1	0	12	DUF4942 domain-containing protein(11):DNA restriction methylase(1):hypothetical protein(1)	NA(13)	474	1707	1577.08	19	1	pQBR127_00174	pQBR132_00173	pQBR28_00173	pQBR53_00196	pQBR55_00195	pQBR55R_00171	pQG3rel01_00175	(pQG3rel02_00205:pQG3rel02_00206)	pQG3rel03_00162	pQG3rel04_00170	pQG3rel05_00164	pQG3rel06_00221
g0069_0002	g0069	NA	DUF4299 domain-containing protein	70	5	11	1	1	1	0	0	0	0	11	DUF4299 domain-containing protein(11)	NA(11)	696	696	696.00	20	1	pQBR127_00054	pQBR132_00074	pQBR28_00054	pQBR53_00057	pQBR55_00081	pQBR55R_00057		pQG3rel02_00059	pQG3rel03_00062	pQG3rel04_00063	pQG3rel05_00052	pQG3rel06_00056
g0198_0004	g0198	NA	ABC transporter permease	90	2	11	1	1	1	0	0	0	0	11	ABC transporter permease(11)	NA(11)	213	213	213.00	20	2	pQBR127_00053	pQBR132_00073	pQBR28_00053	pQBR53_00056	pQBR55_00080	pQBR55R_00056		pQG3rel02_00057	pQG3rel03_00061	pQG3rel04_00062	pQG3rel05_00051	pQG3rel06_00054
g0083_0004	g0083	NA	ABC transporter ATP-binding protein	90	5	11	1	1	1	0	0	0	0	11	ABC transporter ATP-binding protein(11)	NA(11)	123	123	123.00	20	3	pQBR127_00051	pQBR132_00071	pQBR28_00051	pQBR53_00054	pQBR55_00078	pQBR55R_00054		pQG3rel02_00055	pQG3rel03_00059	pQG3rel04_00060	pQG3rel05_00049	pQG3rel06_00052
g0005_1_0005	g0005_1	NA	AlbA-2 domain-containing protein	95	7	11	1	1	1	1	0	1	0	11	AlbA-2 domain-containing protein(8):ATP-binding protein(3):hypothetical protein(1)	NA(12)	432	1098	1010.25	21	1	pQBR127_00018	pQBR132_00026	pQBR28_00018	pQBR53_00021	pQBR55_00021	pQBR55R_00021		pQG3rel02_00020	pQG3rel03_00024	(pQG3rel04_00024:pQG3rel04_00025)	pQG3rel05_00013	pQG3rel06_00017
g0070_1_0005	g0070_1	NA	HEPN-Cthe2314 domain-containing protein	90	4	11	1	1	1	0	0	0	0	11	HEPN-Cthe2314 domain-containing protein(11)	NA(11)	648	648	648.00	21	2	pQBR127_00019	pQBR132_00027	pQBR28_00019	pQBR53_00022	pQBR55_00022	pQBR55R_00022		pQG3rel02_00022	pQG3rel03_00025	pQG3rel04_00026	pQG3rel05_00015	pQG3rel06_00019
g0024_0003	g0024	copG	Type I site-specific deoxyribonuclease	80	7	11	1	1	1	0	0	0	0	11	Type I site-specific deoxyribonuclease(8):CopG family transcriptional regulator(2):Transcriptional regulator(1)	NA(9):copG(2)	234	282	238.36	22	1	pQBR127_00167	pQBR132_00165	pQBR28_00154	pQBR53_00189	pQBR55_00188	pQBR55R_00164		pQG3rel02_00210	pQG3rel03_00154	pQG3rel04_00162	pQG3rel05_00181	pQG3rel06_00226
g0168_0003	g0168	NA	PDDEXK-1 domain-containing protein	80	2	11	1	1	1	0	0	0	0	11	PDDEXK-1 domain-containing protein(11)	NA(11)	492	495	494.18	23	1	pQBR127_00109	pQBR132_00130	pQBR28_00108	pQBR53_00137	pQBR55_00136	pQBR55R_00112		pQG3rel02_00109	pQG3rel03_00121	pQG3rel04_00128	pQG3rel05_00101	pQG3rel06_00145
g0076_0002	g0076	NA	Type III secretion protein	70	5	11	1	1	1	0	0	0	0	11	Type III secretion protein(11)	NA(11)	351	369	355.36	24	1	pQBR127_00026	pQBR132_00035	pQBR28_00026	pQBR53_00029	pQBR55_00053	pQBR55R_00029		pQG3rel02_00031	pQG3rel03_00031	pQG3rel04_00032	pQG3rel05_00024	pQG3rel06_00028
g0078_0002	g0078	NA	PKS-DH domain-containing protein	70	5	11	1	1	1	0	0	0	0	11	PKS-DH domain-containing protein(8):Peptide chain release factor 2(3)	NA(11)	183	366	316.09	25	1	pQBR127_00175	pQBR132_00174	pQBR28_00174	pQBR53_00197	pQBR55_00196	pQBR55R_00172		pQG3rel02_00004	pQG3rel03_00163	pQG3rel04_00171	pQG3rel05_00004	pQG3rel06_00005
g0062_0003	g0062	NA	DUF3267 domain-containing protein	80	5	11	1	1	1	0	0	0	0	11	DUF3267 domain-containing protein(11)	NA(11)	882	894	890.73	26	1	pQBR127_00021	pQBR132_00029	pQBR28_00021	pQBR53_00024	pQBR55_00048	pQBR55R_00024		pQG3rel02_00024	pQG3rel03_00027	pQG3rel04_00028	pQG3rel05_00017	pQG3rel06_00021
g0049_0002	g0049	NA	Transmembrane protein	70	6	11	1	1	1	0	0	0	0	11	Transmembrane protein(11)	NA(11)	285	285	285.00	27	1	pQBR127_00100	pQBR132_00121	pQBR28_00099	pQBR53_00128	pQBR55_00127	pQBR55R_00103		pQG3rel02_00105	pQG3rel03_00112	pQG3rel04_00118	pQG3rel05_00096	pQG3rel06_00141
g0123_0004	g0123	traV	type IV conjugative transfer system lipoprotein TraV	90	3	11	1	1	1	0	0	0	0	11	type IV conjugative transfer system lipoprotein TraV(11)	traV(11)	522	525	522.82	28	1	pQBR127_00088	pQBR132_00109	pQBR28_00087	pQBR53_00116	pQBR55_00115	pQBR55R_00091		pQG3rel02_00093	pQG3rel03_00100	pQG3rel04_00106	pQG3rel05_00084	pQG3rel06_00129
g0051	g0051	NA	Putative RTX toxin	50	5	11	1	1	1	0	0	0	0	11	Putative RTX toxin(7):tandem-95 repeat protein(4)	NA(11)	1578	1743	1686.27	29	1	pQBR127_00154		pQBR28_00138	pQBR53_00176	pQBR55_00175	pQBR55R_00151	pQG3rel01_00125	pQG3rel02_00123	pQG3rel03_00140	pQG3rel04_00148	pQG3rel05_00114	pQG3rel06_00157
g0100_0001	g0100	NA	Translesion error-prone DNA polymerase V autoproteolytic subunit	60	4	10	1	1	1	0	0	0	0	10	Translesion error-prone DNA polymerase V autoproteolytic subunit(9):translesion error-prone DNA polymerase V autoproteolytic subunit(1)	NA(10)	399	435	430.50	30	1	pQBR127_00017	pQBR132_00025	pQBR28_00017	pQBR53_00020	pQBR55_00020	pQBR55R_00020		pQG3rel02_00193	pQG3rel03_00023	pQG3rel04_00023		pQG3rel06_00209
g0087_0002	g0087	umuC	DNA polymerase IV	70	4	10	1	1	1	0	0	0	0	10	DNA polymerase IV(8):DNA polymerase V subunit UmuC(2)	NA(8):umuC(2)	1275	1299	1294.20	30	2	pQBR127_00016	pQBR132_00024	pQBR28_00016	pQBR53_00019	pQBR55_00019	pQBR55R_00019		pQG3rel02_00192	pQG3rel03_00022	pQG3rel04_00022		pQG3rel06_00208
g0016_0001	g0016	NA	Abasic site processing protein	60	5	10	1	1	1	1	0	1	0	10	Abasic site processing protein(4):SOS response-associated peptidase family protein(4):SOS response associated peptidase (SRAP)(2):hypothetical protein(1)	NA(11)	165	660	532.91	31	1	pQBR127_00015	pQBR132_00023	pQBR28_00014	pQBR53_00018	pQBR55_00018	pQBR55R_00018		pQG3rel02_00194	pQG3rel03_00021	pQG3rel04_00021		(pQG3rel06_00210:pQG3rel06_00211)
g0008	g0008	NA	M20/M25/M40 family metallo-hydrolase	50	8	10	1.30	1	2	0	3	0	3	13	M20/M25/M40 family metallo-hydrolase(5):hypothetical protein(4):Methylaspartate ammonia-lyase(3):Aspartate carbamoyltransferase(1)	NA(13)	219	441	291.46	32	1	pQBR127_00038	pQBR132_00048	pQBR28_00038	pQBR53_00041	pQBR55_00065	pQBR55R_00041	pQG3rel01_00151	pQG3rel02_00190;pQG3rel02_00209			pQG3rel05_00038;pQG3rel05_00151	pQG3rel06_00206;pQG3rel06_00225
g0107_0003	g0107	NA	Secreted protein	80	4	10	1	1	1	0	0	0	0	10	Secreted protein(10)	NA(10)	183	183	183.00	33	1	pQBR127_00022	pQBR132_00030	pQBR28_00022	pQBR53_00025	pQBR55_00049	pQBR55R_00025	pQG3rel01_00008	pQG3rel02_00025			pQG3rel05_00018	pQG3rel06_00022
g0080_0001	g0080	NA	hypothetical protein	60	5	10	1.20	1	2	0	2	0	2	12	hypothetical protein(4):Zn-Tnp-IS1595 domain-containing protein(3):DUF1330 domain-containing protein(3):Phage protein(2)	NA(12)	150	267	223.00	34	1	pQBR127_00147		pQBR28_00131	pQBR53_00169	pQBR55_00168	pQBR55R_00144		pQG3rel02_00114	pQG3rel03_00132;pQG3rel03_00135	pQG3rel04_00140;pQG3rel04_00143	pQG3rel05_00107	pQG3rel06_00150
g0011_0002	g0011	NA	Cadherin domain-containing protein	70	6	9	1	1	1	1	0	1	0	9	Cadherin domain-containing protein(5):DNA (cytosine-5-)-methyltransferase(3):hypothetical protein(1):DNA cytosine methyltransferase(1)	NA(10)	222	1557	699.30	35	1	pQBR127_00057	pQBR132_00077		pQBR53_00060	pQBR55_00084	pQBR55R_00060	pQG3rel01_00051	pQG3rel02_00065			pQG3rel05_00058	(pQG3rel06_00062:pQG3rel06_00064)
g0071_0004	g0071	NA	Glycogen phosphorylase	90	4	9	1	1	1	0	0	0	0	9	Glycogen phosphorylase(9)	NA(9)	570	600	573.33	36	1	pQBR127_00040	pQBR132_00060	pQBR28_00040	pQBR53_00043	pQBR55_00067	pQBR55R_00043			pQG3rel03_00048	pQG3rel04_00049	pQG3rel05_00037	
g0102	g0102	NA	Phage tail protein	50	4	9	1	1	1	0	0	0	0	9	Phage tail protein(6):hypothetical protein(2):DUF1338 domain-containing protein(1)	NA(9)	270	405	356.67	37	1	pQBR127_00039	pQBR132_00059	pQBR28_00039	pQBR53_00042	pQBR55_00066	pQBR55R_00042	pQG3rel01_00153		pQG3rel03_00047	pQG3rel04_00048		
g0110_0005	g0110	parB	putative chromosome-partitioning protein ParB	95	3	8	1	1	1	0	0	0	0	8	putative chromosome-partitioning protein ParB(8)	parB(8)	969	1794	1684.12	38	1	pQBR127_00103	pQBR132_00124	pQBR28_00102	pQBR53_00131	pQBR55_00130	pQBR55R_00106			pQG3rel03_00115	pQG3rel04_00121		
g0128_0004	g0128	NA	PRTRC system protein E	90	3	8	1	1	1	0	0	0	0	8	PRTRC system protein E(8)	NA(8)	480	480	480.00	38	2	pQBR127_00104	pQBR132_00125	pQBR28_00103	pQBR53_00132	pQBR55_00131	pQBR55R_00107			pQG3rel03_00116	pQG3rel04_00122		
g0199_0005	g0199	NA	PRTRC system protein C	95	2	8	1	1	1	0	0	0	0	8	PRTRC system protein C(8)	NA(8)	213	213	213.00	38	3	pQBR127_00105	pQBR132_00126	pQBR28_00104	pQBR53_00133	pQBR55_00132	pQBR55R_00108			pQG3rel03_00117	pQG3rel04_00123		
g0113_0005	g0113	ycaO	YcaO domain-containing protein	95	3	8	1	1	1	0	0	0	0	8	YcaO domain-containing protein(8)	ycaO(8)	1467	1467	1467.00	38	4	pQBR127_00106	pQBR132_00127	pQBR28_00105	pQBR53_00134	pQBR55_00133	pQBR55R_00109			pQG3rel03_00118	pQG3rel04_00124		
g0068_0005	g0068	NA	PRTRC system protein B	95	4	8	1	1	1	1	0	1	0	8	PRTRC system protein B(7):hypothetical protein(1):Rieske domain-containing protein(1)	NA(9)	225	702	629.33	38	5	pQBR127_00107	pQBR132_00128	pQBR28_00106	pQBR53_00135	pQBR55_00134	pQBR55R_00110			pQG3rel03_00119	(pQG3rel04_00125:pQG3rel04_00126)		
g0120_0005	g0120	thiF	ThiF family protein%2C ubiquitin-activating enzyme	95	3	8	1	1	1	0	0	0	0	8	ThiF family protein%2C ubiquitin-activating enzyme(8)	thiF(8)	771	771	771.00	38	6	pQBR127_00108	pQBR132_00129	pQBR28_00107	pQBR53_00136	pQBR55_00135	pQBR55R_00111			pQG3rel03_00120	pQG3rel04_00127		
g0580_0006	g0580	NA	Phage protein	98	1	8	1	1	1	0	0	0	0	8	Phage protein(8)	NA(8)	237	237	237.00	39	1	pQBR127_00006	pQBR132_00008	pQBR28_00006	pQBR53_00006	pQBR55_00006	pQBR55R_00006			pQG3rel03_00004	pQG3rel04_00004		
g0124_0004	g0124	NA	Phage protein	90	3	8	1	1	1	0	0	0	0	8	Phage protein(8)	NA(8)	504	504	504.00	39	2	pQBR127_00005	pQBR132_00007	pQBR28_00005	pQBR53_00005	pQBR55_00005	pQBR55R_00005			pQG3rel03_00003	pQG3rel04_00003		
g0131_0005	g0131	NA	DUF4065 domain-containing protein	95	3	8	1	1	1	0	0	0	0	8	DUF4065 domain-containing protein(8)	NA(8)	381	381	381.00	40	1	pQBR127_00176	pQBR132_00175	pQBR28_00175	pQBR53_00198	pQBR55_00197	pQBR55R_00173			pQG3rel03_00164	pQG3rel04_00172		
g0103_0001	g0103	NA	DNA-binding protein	60	3	8	1	1	1	0	0	0	0	8	DNA-binding protein(7):hypothetical protein(1)	NA(8)	288	402	372.00	41	1	pQBR127_00133		pQBR28_00127	pQBR53_00155	pQBR55_00154	pQBR55R_00130	pQG3rel01_00114		pQG3rel03_00128	pQG3rel04_00136		
g0150_0002	g0150	NA	Beta-ketoadipyl CoA thiolase	70	3	8	1	1	1	0	0	0	0	8	Beta-ketoadipyl CoA thiolase(8)	NA(8)	198	198	198.00	42	1	pQBR127_00013	pQBR132_00022	pQBR28_00013	pQBR53_00017	pQBR55_00017	pQBR55R_00017			pQG3rel03_00020	pQG3rel04_00020		
g0137_0002	g0137	NA	M3 family oligoendopeptidase	70	3	8	1	1	1	0	0	0	0	8	M3 family oligoendopeptidase(5):Orphan protein(3)	NA(8)	246	279	254.25	43	1	pQBR127_00073	pQBR132_00093	pQBR28_00072	pQBR53_00076	pQBR55_00100	pQBR55R_00076			pQG3rel03_00082	pQG3rel04_00086		
g0146_0005	g0146	NA	Lipoprotein	95	3	8	1	1	1	0	0	0	0	8	Lipoprotein(8)	NA(8)	231	231	231.00	44	1	pQBR127_00148		pQBR28_00132	pQBR53_00170	pQBR55_00169	pQBR55R_00145		pQG3rel02_00115			pQG3rel05_00108	pQG3rel06_00151
g0172_0002	g0172	NA	Transmembrane protein	70	2	7	1	1	1	0	0	0	0	7	Transmembrane protein(7)	NA(7)	426	426	426.00	45	1	pQBR127_00012		pQBR28_00012	pQBR53_00016	pQBR55_00016	pQBR55R_00016			pQG3rel03_00019	pQG3rel04_00019		
g0149_0003	g0149	abrB	AbrB/MazE/SpoVT family DNA-binding domain-containing protein	80	3	7	1	1	1	0	0	0	0	7	AbrB/MazE/SpoVT family DNA-binding domain-containing protein(4):Transcriptional regulator(2):AbrB family transcriptional regulator(1)	NA(6):abrB(1)	207	207	207.00	46	1	pQBR127_00126			pQBR53_00149	pQBR55_00148	pQBR55R_00124		pQG3rel02_00166			pQG3rel05_00129	pQG3rel06_00178
g0174_0004	g0174	fprA	FprA family A-type flavoprotein	90	2	7	1	1	1	0	0	0	0	7	FprA family A-type flavoprotein(7)	fprA(7)	312	357	344.14	47	1	pQBR127_00146		pQBR28_00130	pQBR53_00168	pQBR55_00167	pQBR55R_00143			pQG3rel03_00131	pQG3rel04_00139		
g0126_0003	g0126	NA	Histidine kinase	80	3	7	1	1	1	0	0	0	0	7	Histidine kinase(4):hypothetical protein(3)	NA(7)	324	480	413.14	48	1		pQBR132_00014		pQBR53_00011	pQBR55_00011	pQBR55R_00011		pQG3rel02_00175			pQG3rel05_00131	pQG3rel06_00187
