allele_name	gene_family	consensus_gene_name	consensus_product	threshold	alleles_at_maximum_threshold	number_genomes	average_dose	min_dose	max_dose	genomes_containing_fissions	genomes_containing_duplications	number_fission_loci	number_duplicated_loci	no_loci	products	gene_names	min_length(bp)	max_length(bp)	average_length(bp)	cluster	cluster_order	pQBR103	pQBR106p	pQBR11d	pQBR124	pQBR4	pQBR43	pQBR44d	pQBR47p	pQBR49	pQBR5	pQBR50d	pQG1rel01	pQG1rel02	pQG1rel03	pQG1rel04	pQG1rel05	pQG1rel06	pQG1rel07	pQG1rel08	pQG1rel09
g0393_0004	g0393	NA	AAA-5 domain-containing protein	90	2	18	1	1	1	0	0	0	0	18	AAA-5 domain-containing protein(18)	NA(18)	1170	1170	1170.00	16	8	pQBR103_00049		pQBR11d_00050	pQBR124_00048	pQBR4_00048	pQBR43_00048		pQBR47p_00048	pQBR49_00048	pQBR5_00048	pQBR50d_00048	pQG1rel01_00049	pQG1rel02_00051	pQG1rel03_00051	pQG1rel04_00051	pQG1rel05_00051	pQG1rel06_00049	pQG1rel07_00051	pQG1rel08_00050	pQG1rel09_00051
g0418_0004	g0418	NA	DUF3800 domain-containing protein	90	2	18	1	1	1	0	0	0	0	18	DUF3800 domain-containing protein(18)	NA(18)	819	819	819.00	16	9	pQBR103_00050		pQBR11d_00051	pQBR124_00049	pQBR4_00049	pQBR43_00049		pQBR47p_00049	pQBR49_00049	pQBR5_00049	pQBR50d_00049	pQG1rel01_00050	pQG1rel02_00052	pQG1rel03_00052	pQG1rel04_00052	pQG1rel05_00052	pQG1rel06_00050	pQG1rel07_00052	pQG1rel08_00051	pQG1rel09_00052
g0939_0006	g0939	NA	HEPN domain-containing protein	98	1	18	1	1	1	0	0	0	0	18	HEPN domain-containing protein(18)	NA(18)	222	222	222.00	16	10	pQBR103_00051		pQBR11d_00052	pQBR124_00050	pQBR4_00050	pQBR43_00050		pQBR47p_00050	pQBR49_00050	pQBR5_00050	pQBR50d_00050	pQG1rel01_00051	pQG1rel02_00053	pQG1rel03_00053	pQG1rel04_00053	pQG1rel05_00053	pQG1rel06_00051	pQG1rel07_00053	pQG1rel08_00052	pQG1rel09_00053
g0344_0005	g0344	NA	Transposase	95	3	18	1	1	1	0	0	0	0	18	Transposase(18)	NA(18)	216	216	216.00	16	11	pQBR103_00052		pQBR11d_00053	pQBR124_00051	pQBR4_00051	pQBR43_00051		pQBR47p_00051	pQBR49_00051	pQBR5_00051	pQBR50d_00051	pQG1rel01_00052	pQG1rel02_00054	pQG1rel03_00054	pQG1rel04_00054	pQG1rel05_00054	pQG1rel06_00052	pQG1rel07_00054	pQG1rel08_00053	pQG1rel09_00054
g0356_0004	g0356	NA	VWFA domain-containing protein	90	2	18	1	1	1	0	0	0	0	18	VWFA domain-containing protein(18)	NA(18)	2052	2055	2054.50	16	12	pQBR103_00053		pQBR11d_00054	pQBR124_00052	pQBR4_00052	pQBR43_00052		pQBR47p_00052	pQBR49_00052	pQBR5_00052	pQBR50d_00052	pQG1rel01_00053	pQG1rel02_00055	pQG1rel03_00055	pQG1rel04_00055	pQG1rel05_00055	pQG1rel06_00053	pQG1rel07_00055	pQG1rel08_00054	pQG1rel09_00055
g0534_0003	g0534	NA	3HCDH domain-containing protein	80	2	18	1	1	1	0	0	0	0	18	3HCDH domain-containing protein(13):Modulator of drug activity B(5)	NA(18)	267	267	267.00	16	13	pQBR103_00054		pQBR11d_00055	pQBR124_00053	pQBR4_00053	pQBR43_00053		pQBR47p_00053	pQBR49_00053	pQBR5_00053	pQBR50d_00053	pQG1rel01_00054	pQG1rel02_00056	pQG1rel03_00056	pQG1rel04_00056	pQG1rel05_00056	pQG1rel06_00054	pQG1rel07_00056	pQG1rel08_00055	pQG1rel09_00056
g0010_0002	g0010	NA	Transmembrane protein	70	6	18	1	1	1	0	0	0	0	18	Transmembrane protein(9):Putative transmembrane protein(9)	NA(18)	1077	1080	1079.50	17	1	pQBR103_00149		pQBR11d_00164	pQBR124_00148	pQBR4_00148	pQBR43_00148		pQBR47p_00148	pQBR49_00148	pQBR5_00148	pQBR50d_00148	pQG1rel01_00149	pQG1rel02_00133	pQG1rel03_00133	pQG1rel04_00166	pQG1rel05_00131	pQG1rel06_00171	pQG1rel07_00131	pQG1rel08_00199	pQG1rel09_00131
g0112_0003	g0112	NA	Putative transmembrane protein	80	4	18	1	1	1	0	0	0	0	18	Putative transmembrane protein(15):Mitochondrial import receptor subunit(3)	NA(18)	570	570	570.00	17	2	pQBR103_00151		pQBR11d_00166	pQBR124_00150	pQBR4_00150	pQBR43_00150		pQBR47p_00150	pQBR49_00150	pQBR5_00150	pQBR50d_00150	pQG1rel01_00151	pQG1rel02_00135	pQG1rel03_00135	pQG1rel04_00168	pQG1rel05_00132	pQG1rel06_00173	pQG1rel07_00132	pQG1rel08_00201	pQG1rel09_00132
g0060_0003	g0060	NA	Lactate permease	80	4	18	1	1	1	0	0	0	0	18	Lactate permease(18)	NA(18)	1677	1677	1677.00	17	3	pQBR103_00152		pQBR11d_00167	pQBR124_00151	pQBR4_00151	pQBR43_00151		pQBR47p_00151	pQBR49_00151	pQBR5_00151	pQBR50d_00151	pQG1rel01_00152	pQG1rel02_00136	pQG1rel03_00136	pQG1rel04_00169	pQG1rel05_00133	pQG1rel06_00174	pQG1rel07_00133	pQG1rel08_00202	pQG1rel09_00133
g0130_0004	g0130	NA	TM2 domain-containing protein	90	4	18	1	1	1	0	0	0	0	18	TM2 domain-containing protein(12):Transmembrane protein(6)	NA(18)	438	438	438.00	17	4	pQBR103_00153		pQBR11d_00168	pQBR124_00152	pQBR4_00152	pQBR43_00152		pQBR47p_00152	pQBR49_00152	pQBR5_00152	pQBR50d_00152	pQG1rel01_00153	pQG1rel02_00137	pQG1rel03_00137	pQG1rel04_00170	pQG1rel05_00134	pQG1rel06_00175	pQG1rel07_00134	pQG1rel08_00203	pQG1rel09_00134
g0015_0003	g0015	NA	Putative response regulator domain-only transcriptional regulator	80	6	18	1	1	1	0	0	0	0	18	Putative response regulator domain-only transcriptional regulator(13):Response regulatory domain-containing protein(3):hypothetical protein(2)	NA(18)	405	516	417.33	17	5	pQBR103_00154		pQBR11d_00169	pQBR124_00153	pQBR4_00153	pQBR43_00153		pQBR47p_00153	pQBR49_00153	pQBR5_00153	pQBR50d_00153	pQG1rel01_00154	pQG1rel02_00138	pQG1rel03_00138	pQG1rel04_00171	pQG1rel05_00135	pQG1rel06_00176	pQG1rel07_00135	pQG1rel08_00204	pQG1rel09_00135
g0012_0003	g0012	NA	Prepilin leader peptidase/N-methyltransferase	80	6	18	1	1	1	0	0	0	0	18	Prepilin leader peptidase/N-methyltransferase(18)	NA(18)	888	891	888.50	17	6	pQBR103_00156		pQBR11d_00171	pQBR124_00155	pQBR4_00155	pQBR43_00155		pQBR47p_00155	pQBR49_00155	pQBR5_00155	pQBR50d_00155	pQG1rel01_00156	pQG1rel02_00140	pQG1rel03_00140	pQG1rel04_00173	pQG1rel05_00136	pQG1rel06_00178	pQG1rel07_00136	pQG1rel08_00206	pQG1rel09_00136
g0381_0004	g0381	NA	Tyr recombinase domain-containing protein	90	2	18	1	1	1	0	0	0	0	18	Tyr recombinase domain-containing protein(18)	NA(18)	1266	1305	1272.50	17	7	pQBR103_00157		pQBR11d_00172	pQBR124_00156	pQBR4_00156	pQBR43_00156		pQBR47p_00156	pQBR49_00156	pQBR5_00156	pQBR50d_00156	pQG1rel01_00157	pQG1rel02_00141	pQG1rel03_00141	pQG1rel04_00174	pQG1rel05_00137	pQG1rel06_00179	pQG1rel07_00137	pQG1rel08_00207	pQG1rel09_00137
g0018_0001	g0018	NA	Putative transmembrane protein	60	6	18	1	1	1	0	0	0	0	18	Putative transmembrane protein(10):DUF4149 domain-containing protein(3):MFS transporter(3):Integral membrane protein(2)	NA(18)	438	438	438.00	18	1	pQBR103_00170		pQBR11d_00186	pQBR124_00169	pQBR4_00169	pQBR43_00169		pQBR47p_00169	pQBR49_00169	pQBR5_00169	pQBR50d_00169	pQG1rel01_00170	pQG1rel02_00186	pQG1rel03_00186	pQG1rel04_00189	pQG1rel05_00145	pQG1rel06_00191	pQG1rel07_00145	pQG1rel08_00221	pQG1rel09_00145
g0007_0001	g0007	dsbD	Putative transmembrane thiol:disulfide interchange protein DsbD	60	6	18	1	1	1	0	0	0	0	18	Putative transmembrane thiol:disulfide interchange protein DsbD(10):DsbC domain-containing protein(8)	dsbD(10):dsbC(8)	1677	1713	1704.83	18	2	pQBR103_00172		pQBR11d_00188	pQBR124_00171	pQBR4_00171	pQBR43_00171		pQBR47p_00171	pQBR49_00171	pQBR5_00171	pQBR50d_00171	pQG1rel01_00172	pQG1rel02_00188	pQG1rel03_00188	pQG1rel04_00191	pQG1rel05_00146	pQG1rel06_00193	pQG1rel07_00146	pQG1rel08_00223	pQG1rel09_00146
g0013_0001	g0013	vgrG	Zpr1 domain-containing protein	60	6	18	1	1	1	0	0	0	0	18	Zpr1 domain-containing protein(13):Type VI secretion system tip protein VgrG(3):Peptidase-M16-C domain-containing protein(2)	NA(15):vgrG(3)	567	567	567.00	18	3	pQBR103_00173		pQBR11d_00189	pQBR124_00172	pQBR4_00172	pQBR43_00172		pQBR47p_00172	pQBR49_00172	pQBR5_00172	pQBR50d_00172	pQG1rel01_00173	pQG1rel02_00189	pQG1rel03_00189	pQG1rel04_00192	pQG1rel05_00147	pQG1rel06_00194	pQG1rel07_00147	pQG1rel08_00224	pQG1rel09_00147
g0044_0003	g0044	NA	Lipoprotein	80	5	18	1	1	1	0	0	0	0	18	Lipoprotein(18)	NA(18)	483	483	483.00	18	4	pQBR103_00174		pQBR11d_00190	pQBR124_00173	pQBR4_00173	pQBR43_00173		pQBR47p_00173	pQBR49_00216	pQBR5_00173	pQBR50d_00173	pQG1rel01_00174	pQG1rel02_00190	pQG1rel03_00190	pQG1rel04_00193	pQG1rel05_00148	pQG1rel06_00195	pQG1rel07_00148	pQG1rel08_00225	pQG1rel09_00148
g0341_0003	g0341	NA	Plasmid stabilization protein	80	3	18	1	1	1	0	0	0	0	18	Plasmid stabilization protein(13):Stability/partitioning determinant(5)	NA(18)	237	240	237.83	18	5	pQBR103_00176		pQBR11d_00192	pQBR124_00175	pQBR4_00199	pQBR43_00175		pQBR47p_00175	pQBR49_00218	pQBR5_00175	pQBR50d_00175	pQG1rel01_00176	pQG1rel02_00192	pQG1rel03_00192	pQG1rel04_00195	pQG1rel05_00149	pQG1rel06_00197	pQG1rel07_00149	pQG1rel08_00227	pQG1rel09_00149
g0089_0004	g0089	NA	Peptidase-M48 domain-containing protein	90	4	18	1	1	1	0	0	0	0	18	Peptidase-M48 domain-containing protein(18)	NA(18)	804	816	806.00	18	6	pQBR103_00177		pQBR11d_00193	pQBR124_00176	pQBR4_00200	pQBR43_00176		pQBR47p_00176	pQBR49_00219	pQBR5_00176	pQBR50d_00176	pQG1rel01_00177	pQG1rel02_00193	pQG1rel03_00193	pQG1rel04_00196	pQG1rel05_00150	pQG1rel06_00198	pQG1rel07_00150	pQG1rel08_00228	pQG1rel09_00150
g0226_0002	g0226	NA	Putative transmembrane protein	70	3	18	1	1	1	0	0	0	0	18	Putative transmembrane protein(13):Transmembrane protein(5)	NA(18)	780	786	784.33	19	1	pQBR103_00425	pQBR106p_00019	pQBR11d_00443	pQBR124_00422	pQBR4_00490	pQBR43_00489	pQBR44d_00041		pQBR49_00507	pQBR5_00422	pQBR50d_00477	pQG1rel01_00425	pQG1rel02_00349	pQG1rel03_00349	pQG1rel04_00524	pQG1rel05_00438		pQG1rel07_00438	pQG1rel08_00472	pQG1rel09_00430
g0247_0003	g0247	NA	DUF3846 domain-containing protein	80	3	18	1	1	1	0	0	0	0	18	DUF3846 domain-containing protein(13):AmmeMemoRadiSam system protein A(5)	NA(18)	600	600	600.00	19	2	pQBR103_00426	pQBR106p_00020	pQBR11d_00444	pQBR124_00423	pQBR4_00491	pQBR43_00490	pQBR44d_00042		pQBR49_00508	pQBR5_00423	pQBR50d_00478	pQG1rel01_00426	pQG1rel02_00350	pQG1rel03_00350	pQG1rel04_00525	pQG1rel05_00439		pQG1rel07_00439	pQG1rel08_00473	pQG1rel09_00431
g0299_0003	g0299	NA	DUF3301 domain-containing protein	80	3	18	1	1	1	0	0	0	0	18	DUF3301 domain-containing protein(13):Peptidase-M24 domain-containing protein(5)	NA(18)	330	390	346.67	19	3	pQBR103_00427	pQBR106p_00021	pQBR11d_00445	pQBR124_00424	pQBR4_00492	pQBR43_00491	pQBR44d_00043		pQBR49_00509	pQBR5_00424	pQBR50d_00479	pQG1rel01_00427	pQG1rel02_00351	pQG1rel03_00351	pQG1rel04_00526	pQG1rel05_00440		pQG1rel07_00440	pQG1rel08_00474	pQG1rel09_00432
g0210_0003	g0210	NA	DNA-binding protein	80	2	18	1	1	1	0	0	0	0	18	DNA-binding protein(16):hypothetical protein(2)	NA(18)	906	990	921.33	19	4	pQBR103_00428	pQBR106p_00022	pQBR11d_00446	pQBR124_00425	pQBR4_00493	pQBR43_00492	pQBR44d_00044		pQBR49_00510	pQBR5_00425	pQBR50d_00480	pQG1rel01_00428	pQG1rel02_00352	pQG1rel03_00352	pQG1rel04_00527	pQG1rel05_00441		pQG1rel07_00441	pQG1rel08_00475	pQG1rel09_00433
g0517_0003	g0517	NA	DUF4262 domain-containing protein	80	2	18	1	1	1	0	0	0	0	18	DUF4262 domain-containing protein(13):DUF2591 domain-containing protein(5)	NA(18)	327	327	327.00	19	5	pQBR103_00429	pQBR106p_00023	pQBR11d_00447	pQBR124_00426	pQBR4_00494	pQBR43_00493	pQBR44d_00045		pQBR49_00511	pQBR5_00426	pQBR50d_00481	pQG1rel01_00429	pQG1rel02_00353	pQG1rel03_00353	pQG1rel04_00530	pQG1rel05_00442		pQG1rel07_00442	pQG1rel08_00476	pQG1rel09_00434
g0105_0003	g0105	NA	Putative cyclic amp receptor-family protein	80	4	18	1	1	1	0	0	0	0	18	Putative cyclic amp receptor-family protein(10):HTH crp-type domain-containing protein(5):Cyclic AMP phosphodiesterase(3)	NA(18)	648	648	648.00	20	1	pQBR103_00121		pQBR11d_00122	pQBR124_00120	pQBR4_00120	pQBR43_00120		pQBR47p_00120	pQBR49_00120	pQBR5_00120	pQBR50d_00120	pQG1rel01_00121	pQG1rel02_00112	pQG1rel03_00112	pQG1rel04_00117	pQG1rel05_00113	pQG1rel06_00125	pQG1rel07_00113	pQG1rel08_00167	pQG1rel09_00113
g0181_0003	g0181	NA	Putative UvrD/Rep family helicase	80	3	18	1	1	1	0	0	0	0	18	Putative UvrD/Rep family helicase(13):UvrD-like helicase ATP-binding domain-containing protein(5)	NA(18)	2415	2415	2415.00	20	2	pQBR103_00122		pQBR11d_00123	pQBR124_00121	pQBR4_00121	pQBR43_00121		pQBR47p_00121	pQBR49_00121	pQBR5_00121	pQBR50d_00121	pQG1rel01_00122	pQG1rel02_00113	pQG1rel03_00113	pQG1rel04_00118	pQG1rel05_00114	pQG1rel06_00126	pQG1rel07_00114	pQG1rel08_00168	pQG1rel09_00114
g0140_0002	g0140	NA	Transglut-core3 domain-containing protein	70	4	18	1	1	1	0	0	0	0	18	Transglut-core3 domain-containing protein(17):hypothetical protein(1)	NA(18)	213	402	391.50	20	3	pQBR103_00123		pQBR11d_00124	pQBR124_00122	pQBR4_00122	pQBR43_00122		pQBR47p_00122	pQBR49_00122	pQBR5_00122	pQBR50d_00122	pQG1rel01_00123	pQG1rel02_00114	pQG1rel03_00114	pQG1rel04_00119	pQG1rel05_00115	pQG1rel06_00127	pQG1rel07_00115	pQG1rel08_00170	pQG1rel09_00115
g0195_0005	g0195	NA	Methyltransferase	95	3	18	1	1	1	0	0	0	0	18	Methyltransferase(16):restriction-modification methylase(2)	NA(18)	927	1281	1241.67	20	4	pQBR103_00124		pQBR11d_00135	pQBR124_00123	pQBR4_00123	pQBR43_00123		pQBR47p_00123	pQBR49_00123	pQBR5_00123	pQBR50d_00123	pQG1rel01_00124	pQG1rel02_00115	pQG1rel03_00115	pQG1rel04_00120	pQG1rel05_00116	pQG1rel06_00128	pQG1rel07_00116	pQG1rel08_00171	pQG1rel09_00116
g0034_0003	g0034	NA	PG-binding-3 domain-containing protein	80	5	18	1	1	1	0	0	0	0	18	PG-binding-3 domain-containing protein(14):Xenobiotic reductase A(2):Transcriptional regulator(2)	NA(18)	270	699	623.33	20	5	pQBR103_00125		pQBR11d_00136	pQBR124_00124	pQBR4_00124	pQBR43_00124		pQBR47p_00124	pQBR49_00124	pQBR5_00124	pQBR50d_00124	pQG1rel01_00125	pQG1rel02_00116	pQG1rel03_00116	pQG1rel04_00121	pQG1rel05_00117	pQG1rel06_00129	pQG1rel07_00117	pQG1rel08_00172	pQG1rel09_00117
g0005_0004	g0005	NA	DUF3800 domain-containing protein	90	7	18	1	1	1	3	0	3	0	18	DUF3800 domain-containing protein(15):EAL domain-containing protein(3):DUF4435 domain-containing protein(3)	NA(21)	429	1152	988.00	21	1	pQBR103_00160		pQBR11d_00176	pQBR124_00159	pQBR4_00159	pQBR43_00159		pQBR47p_00159	pQBR49_00159	pQBR5_00159	pQBR50d_00159	pQG1rel01_00160	pQG1rel02_00144	pQG1rel03_00144	(pQG1rel04_00176:pQG1rel04_00177)	pQG1rel05_00141	(pQG1rel06_00181:pQG1rel06_00182)	pQG1rel07_00141	(pQG1rel08_00210:pQG1rel08_00213)	pQG1rel09_00141
g0028_0003	g0028	NA	KfrA-N domain-containing protein	80	5	18	1	1	1	0	0	0	0	18	KfrA-N domain-containing protein(18)	NA(18)	852	861	860.50	21	2	pQBR103_00161		pQBR11d_00177	pQBR124_00160	pQBR4_00160	pQBR43_00160		pQBR47p_00160	pQBR49_00160	pQBR5_00160	pQBR50d_00160	pQG1rel01_00161	pQG1rel02_00145	pQG1rel03_00145	pQG1rel04_00178	pQG1rel05_00142	pQG1rel06_00183	pQG1rel07_00142	pQG1rel08_00214	pQG1rel09_00142
g0069_0003	g0069	NA	Putative phage-related integrase/recombinase	80	4	18	1	1	1	0	0	0	0	18	Putative phage-related integrase/recombinase(13):Tyr recombinase domain-containing protein(3):Tyrosine-type recombinase/integrase(2)	NA(18)	1173	1185	1176.33	21	3	pQBR103_00162		pQBR11d_00178	pQBR124_00161	pQBR4_00161	pQBR43_00161		pQBR47p_00161	pQBR49_00161	pQBR5_00161	pQBR50d_00161	pQG1rel01_00162	pQG1rel02_00146	pQG1rel03_00146	pQG1rel04_00179	pQG1rel05_00143	pQG1rel06_00184	pQG1rel07_00143	pQG1rel08_00215	pQG1rel09_00143
g0002_0003	g0002	parB	Putative partitioning protein	80	5	18	1	1	1	1	0	1	0	18	Putative partitioning protein(9):ParB domain-containing protein(6):ParB N-terminal domain-containing protein(2):hypothetical protein(2)	NA(11):parB(8)	243	771	675.95	21	4	pQBR103_00166		pQBR11d_00181	pQBR124_00165	pQBR4_00165	pQBR43_00165		pQBR47p_00165	pQBR49_00165	pQBR5_00165	pQBR50d_00165	pQG1rel01_00166	pQG1rel02_00182	pQG1rel03_00182	(pQG1rel04_00182:pQG1rel04_00185)	pQG1rel05_00144	pQG1rel06_00187	pQG1rel07_00144	pQG1rel08_00218	pQG1rel09_00144
g0011_0002	g0011	NA	PLDc-2 domain-containing protein	70	6	18	1	1	1	1	0	1	0	18	PLDc-2 domain-containing protein(17):hypothetical protein(1):phospholipase D family protein(1)	NA(19)	444	1035	975.95	22	1	pQBR103_00147		pQBR11d_00162	pQBR124_00146	pQBR4_00146	pQBR43_00146		pQBR47p_00146	pQBR49_00146	pQBR5_00146	pQBR50d_00146	pQG1rel01_00147	pQG1rel02_00130	pQG1rel03_00130	pQG1rel04_00164	pQG1rel05_00129	(pQG1rel06_00168:pQG1rel06_00169)	pQG1rel07_00129	pQG1rel08_00197	pQG1rel09_00129
g0003_0002	g0003	NA	Nup96 domain-containing protein	70	7	18	1.06	1	2	0	1	0	1	19	Nup96 domain-containing protein(10):Nucleoporin-C domain-containing protein(5):TROVE domain-containing protein(3):Vitamin B12-dependent ribonucleoside-diphosphate reductase(1)	NA(19)	417	1644	1083.79	22	2	pQBR103_00145		pQBR11d_00152;pQBR11d_00160	pQBR124_00144	pQBR4_00144	pQBR43_00144		pQBR47p_00144	pQBR49_00144	pQBR5_00144	pQBR50d_00144	pQG1rel01_00145	pQG1rel02_00129	pQG1rel03_00129	pQG1rel04_00162	pQG1rel05_00127	pQG1rel06_00166	pQG1rel07_00127	pQG1rel08_00194	pQG1rel09_00127
g0009_0002	g0009	NA	zf-C2H2-3 domain-containing protein	70	6	18	1	1	1	0	0	0	0	18	zf-C2H2-3 domain-containing protein(18)	NA(18)	1182	1233	1189.33	22	3	pQBR103_00138		pQBR11d_00149	pQBR124_00137	pQBR4_00137	pQBR43_00137		pQBR47p_00137	pQBR49_00137	pQBR5_00137	pQBR50d_00137	pQG1rel01_00138	pQG1rel02_00126	pQG1rel03_00126	pQG1rel04_00154	pQG1rel05_00126	pQG1rel06_00158	pQG1rel07_00126	pQG1rel08_00186	pQG1rel09_00126
g0547_0003	g0547	NA	Rieske domain-containing protein	80	2	18	1	1	1	0	0	0	0	18	Rieske domain-containing protein(18)	NA(18)	228	228	228.00	23	1	pQBR103_00519	pQBR106p_00123	pQBR11d_00537	pQBR124_00526	pQBR4_00637	pQBR43_00593	pQBR44d_00145	pQBR47p_00317	pQBR49_00648	pQBR5_00569	pQBR50d_00663	pQG1rel01_00519			pQG1rel04_00623	pQG1rel05_00525	pQG1rel06_00530	pQG1rel07_00525	pQG1rel08_00568	pQG1rel09_00517
g0030_0003	g0030	NA	Tail assembly chaperone	80	5	18	1	1	1	0	0	0	0	18	Tail assembly chaperone(13):DUF2384 domain-containing protein(5)	NA(18)	732	732	732.00	24	1	pQBR103_00516	pQBR106p_00120	pQBR11d_00534	pQBR124_00523	pQBR4_00634	pQBR43_00590	pQBR44d_00142		pQBR49_00645	pQBR5_00566	pQBR50d_00660	pQG1rel01_00516	pQG1rel02_00446	pQG1rel03_00446	pQG1rel04_00620	pQG1rel05_00522		pQG1rel07_00522	pQG1rel08_00565	pQG1rel09_00514
g0008_0002	g0008	NA	Myb-like domain-containing protein	70	6	18	1	1	1	0	0	0	0	18	Myb-like domain-containing protein(18)	NA(18)	1437	1554	1457.50	25	1	pQBR103_00159		pQBR11d_00175	pQBR124_00158	pQBR4_00158	pQBR43_00158		pQBR47p_00158	pQBR49_00158	pQBR5_00158	pQBR50d_00158	pQG1rel01_00159	pQG1rel02_00143	pQG1rel03_00143	pQG1rel04_00175	pQG1rel05_00140	pQG1rel06_00180	pQG1rel07_00140	pQG1rel08_00209	pQG1rel09_00140
g0329_0003	g0329	NA	Alpha-carbonic anhydrase domain-containing protein	80	3	18	1	1	1	0	0	0	0	18	Alpha-carbonic anhydrase domain-containing protein(13):Ferredoxin(5)	NA(18)	288	288	288.00	26	1	pQBR103_00495	pQBR106p_00099	pQBR11d_00514	pQBR124_00502	pQBR4_00613	pQBR43_00569	pQBR44d_00121	pQBR47p_00294	pQBR49_00624	pQBR5_00545	pQBR50d_00639	pQG1rel01_00495	pQG1rel02_00417	pQG1rel03_00417		pQG1rel05_00503		pQG1rel07_00503	pQG1rel08_00545	pQG1rel09_00495
g0020_0002	g0020	NA	Transcriptional regulator	70	6	18	1	1	1	0	0	0	0	18	Transcriptional regulator(16):DNA binding protein(2)	NA(18)	372	375	372.33	27	1	pQBR103_00136		pQBR11d_00147	pQBR124_00135	pQBR4_00135	pQBR43_00135		pQBR47p_00135	pQBR49_00135	pQBR5_00135	pQBR50d_00135	pQG1rel01_00136	pQG1rel02_00124	pQG1rel03_00124	pQG1rel04_00150	pQG1rel05_00125	pQG1rel06_00155	pQG1rel07_00125	pQG1rel08_00183	pQG1rel09_00125
g0092_0004	g0092	NA	hypothetical protein	90	4	18	1	1	1	0	0	0	0	18	hypothetical protein(13):Pentapeptide repeat-containing protein(5)	NA(18)	147	732	309.50	28	1		pQBR106p_00061	pQBR11d_00485	pQBR124_00464	pQBR4_00532	pQBR43_00531	pQBR44d_00083	pQBR47p_00256	pQBR49_00549	pQBR5_00464	pQBR50d_00519		pQG1rel02_00393	pQG1rel03_00393	pQG1rel04_00573	pQG1rel05_00483	pQG1rel06_00481	pQG1rel07_00483	pQG1rel08_00515	pQG1rel09_00475
g0396_0004	g0396	NA	Replication protein	90	2	18	1	1	1	0	0	0	0	18	Replication protein(18)	NA(18)	1131	1131	1131.00	29	1	pQBR103_00001	pQBR106p_00001	pQBR11d_00001	pQBR124_00001	pQBR4_00001	pQBR43_00001	pQBR44d_00001	pQBR47p_00001	pQBR49_00001	pQBR5_00001	pQBR50d_00001	pQG1rel01_00001			pQG1rel04_00001	pQG1rel05_00001	pQG1rel06_00001	pQG1rel07_00001	pQG1rel08_00001	pQG1rel09_00001
g0446_0003	g0446	rnhB	ribonuclease HII	80	2	17	1	1	1	0	0	0	0	17	ribonuclease HII(17)	rnhB(17)	627	627	627.00	30	1	pQBR103_00233		pQBR11d_00249	pQBR124_00232	pQBR4_00256	pQBR43_00275			pQBR49_00275	pQBR5_00232	pQBR50d_00232	pQG1rel01_00233	pQG1rel02_00242	pQG1rel03_00242	pQG1rel04_00337	pQG1rel05_00190	pQG1rel06_00278	pQG1rel07_00190	pQG1rel08_00285	pQG1rel09_00190
g0526_0002	g0526	NA	Putative exported protein	70	2	17	1	1	1	0	0	0	0	17	Putative exported protein(12):DUF1161 domain-containing protein(5)	NA(17)	300	300	300.00	30	2	pQBR103_00236		pQBR11d_00252	pQBR124_00235	pQBR4_00259	pQBR43_00278			pQBR49_00278	pQBR5_00235	pQBR50d_00235	pQG1rel01_00236	pQG1rel02_00243	pQG1rel03_00243	pQG1rel04_00340	pQG1rel05_00191	pQG1rel06_00281	pQG1rel07_00191	pQG1rel08_00288	pQG1rel09_00191
g0438_0003	g0438	NA	MEDS domain-containing protein	80	2	17	1	1	1	0	0	0	0	17	MEDS domain-containing protein(12):Aldo-ket-red domain-containing protein(5)	NA(17)	663	663	663.00	30	3	pQBR103_00237		pQBR11d_00253	pQBR124_00236	pQBR4_00260	pQBR43_00279			pQBR49_00279	pQBR5_00236	pQBR50d_00236	pQG1rel01_00237	pQG1rel02_00244	pQG1rel03_00244	pQG1rel04_00341	pQG1rel05_00192	pQG1rel06_00282	pQG1rel07_00192	pQG1rel08_00289	pQG1rel09_00192
g0485_0004	g0485	dksA	DksA C4-type domain-containing protein	90	2	17	1	1	1	0	0	0	0	17	DksA C4-type domain-containing protein(17)	dksA(17)	417	417	417.00	30	4	pQBR103_00238		pQBR11d_00254	pQBR124_00237	pQBR4_00261	pQBR43_00280			pQBR49_00280	pQBR5_00237	pQBR50d_00237	pQG1rel01_00238	pQG1rel02_00245	pQG1rel03_00245	pQG1rel04_00342	pQG1rel05_00193	pQG1rel06_00283	pQG1rel07_00193	pQG1rel08_00290	pQG1rel09_00193
g0506_0003	g0506	NA	DUF3077 domain-containing protein	80	2	17	1	1	1	0	0	0	0	17	DUF3077 domain-containing protein(17)	NA(17)	357	357	357.00	30	5	pQBR103_00239		pQBR11d_00255	pQBR124_00238	pQBR4_00262	pQBR43_00281			pQBR49_00281	pQBR5_00238	pQBR50d_00238	pQG1rel01_00239	pQG1rel02_00246	pQG1rel03_00246	pQG1rel04_00343	pQG1rel05_00194	pQG1rel06_00284	pQG1rel07_00194	pQG1rel08_00291	pQG1rel09_00194
